spell_id,spell_name_dbc,spell_name_doc,dungeon_slug,boss_or_mob,source_npc_entry,mechanic_class,interruptible,dispel_type,target_pattern,priority,avoid_radius_y,school,attributes,effect_summary,tc_citation,status,doc_unverified,notes,doc_source
75272,Quake,Quake,blackrock-caverns,rom_ogg_bonecrusher,39665,interrupt,yes,none,pbaoe_self,MUST_INTERRUPT,,physical,262144,E1=77/A0 E0=6/A3,boss_romogg_bonecrusher.cpp:45,verified,yes,DBC + TC script confirm,docs/dungeons/blackrock-caverns/encounter.md:148
75539,Chains of Woe,Chains of Woe,blackrock-caverns,rom_ogg_bonecrusher,39665,info,no,none,pbaoe_pull,,,physical,262144,E0=28/A0,boss_romogg_bonecrusher.cpp:44,verified,yes,DBC + TC script confirm,docs/dungeons/blackrock-caverns/encounter.md:162
75543,The Skullcracker,Skullcracker,blackrock-caverns,rom_ogg_bonecrusher,39665,avoidable,no,none,pbaoe_self,GROUP_STACK,,shadow,262144,E0=64/A0,boss_romogg_bonecrusher.cpp:46,verified,yes,DBC + TC script confirm,docs/dungeons/blackrock-caverns/encounter.md:174
,,Wounding Strike,blackrock-caverns,rom_ogg_bonecrusher,39665,info,no,,tank,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/blackrock-caverns/encounter.md:188
,,Call Bonecrushers,blackrock-caverns,rom_ogg_bonecrusher,39665,info,no,,ground_random_corners,,,,,,,skipped,no,doc marker SKIPPED-AWAITING-INGAME,docs/dungeons/blackrock-caverns/encounter.md:195
75610,Evolution,Evolution (drakonid → Corla beam),blackrock-caverns,corla_herald_of_twilight,39679,info,no,none,corla (line-of-sight from drakonid to boss),,,shadow,0,E0=140/A0,boss_corla_herald_of_twilight.cpp:44,verified,yes,DBC + TC script confirm,docs/dungeons/blackrock-caverns/encounter.md:267
75732,Twilight Evolution,Twilight Evolution (debuff on intercepter),blackrock-caverns,corla_herald_of_twilight,39679,avoidable,no,none,ally_in_beam,SELF_MANAGED_POSITIONING,,physical,2684354560,E2=6/A133 E1=6/A177 E0=6/A56,boss_corla_herald_of_twilight.cpp:47,verified,no,DBC + TC script confirm,docs/dungeons/blackrock-caverns/encounter.md:277
75823,Dark Command,Dark Command (Corla auto-attack),blackrock-caverns,corla_herald_of_twilight,39679,info,no,,tank,,,shadow,0,E1=6/A3 E0=6/A7,boss_corla_herald_of_twilight.cpp:69,verified,yes,DBC + TC script confirm,docs/dungeons/blackrock-caverns/encounter.md:290
75842,Quicksilver Armor,Quicksilver Armor,blackrock-caverns,karsh_steelbender,39698,info,no,none,self,TANK_KITE_TRIGGER,,physical,0,E0=6/A87,boss_karsh_steelbender.cpp:44,verified,yes,DBC + TC script confirm,docs/dungeons/blackrock-caverns/encounter.md:360
,,Cinderbreath,blackrock-caverns,karsh_steelbender,39698,avoidable,no,none,frontal_cone,,,,,,,skipped,no,doc marker SKIPPED-AWAITING-INGAME,docs/dungeons/blackrock-caverns/encounter.md:377
,,Searing Lava (central plume),blackrock-caverns,karsh_steelbender,39698,avoidable,no,none,ground_center_plume,,,,,,,skipped,no,doc marker SKIPPED-AWAITING-INGAME,docs/dungeons/blackrock-caverns/encounter.md:390
76030,Berserker Charge,Berserker Charge,blackrock-caverns,beauty,39700,avoidable,no,none,ally_random,,,physical,16,E2=2/A0 E1=98/A0 E0=96/A0,boss_beauty.cpp:39,verified,yes,DBC + TC script confirm,docs/dungeons/blackrock-caverns/encounter.md:473
76028,Terrifying Roar,Terrifying Roar,blackrock-caverns,beauty,39700,info,no,none,pbaoe_self,,,physical,16,E0=6/A7,boss_beauty.cpp:38,verified,yes,DBC + TC script confirm,docs/dungeons/blackrock-caverns/encounter.md:484
76032,Flamebreak,Flamebreak,blackrock-caverns,beauty,39700,avoidable,no,,pbaoe_self,,,fire,65536,E1=98/A0 E0=2/A0,boss_beauty.cpp:41,verified,yes,DBC + TC script confirm,docs/dungeons/blackrock-caverns/encounter.md:502
,,Magma Spit (Lucky? UNVERIFIED),blackrock-caverns,beauty,39700,interrupt,yes,,ally_random,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/blackrock-caverns/encounter.md:513
,,Little Big Flame Breath (Buster? UNVERIFIED),blackrock-caverns,beauty,39700,info,no,,frontal_cone,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/blackrock-caverns/encounter.md:521
,,Magma Trail (Spot? UNVERIFIED),blackrock-caverns,beauty,39700,info,no,,behind_pup_movement,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/blackrock-caverns/encounter.md:527
76188,Twilight Corruption,Twilight Corruption (debuff on tank),blackrock-caverns,ascendant_lord_obsidius,39705,info,no,none,tank,,,shadow,0,E0=6/A3,boss_ascendant_lord_obsidius.cpp:53,verified,yes,DBC + TC script confirm,docs/dungeons/blackrock-caverns/encounter.md:586
76189,Crepuscular Veil,Crepuscular Veil (debuff on player),blackrock-caverns,ascendant_lord_obsidius,39705,dispel,no,magic,ally_random_non_tank,,,shadow,0,E0=6/A118,,unbound,no,DBC name matches but no TC script casts the ID,docs/dungeons/blackrock-caverns/encounter.md:597
,,Clone activation (Shadow of Obsidius rotation),blackrock-caverns,ascendant_lord_obsidius,39705,info,no,,,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/blackrock-caverns/encounter.md:611
76686,Shadow Prison,Shadow Prison / shadow puddles,blackrock-caverns,ascendant_lord_obsidius,39705,info,no,,ground_around_clone,,,shadow,0,E1=3/A0 E0=6/A226,,unbound,no,DBC name matches but no TC script casts the ID,docs/dungeons/blackrock-caverns/encounter.md:622
,,melee (when activated as primary),blackrock-caverns,Twilight Drakonid (final hallway),39705,info,no,,,,,,,,,placeholder,no,"non-numeric spell_id ('75476,')",docs/dungeons/blackrock-caverns/encounter.md:682
101626,Pulverize,Pulverize,end-time,echo_of_baine,54431,avoidable,no,none,ranged_random,PLATFORM_ROTATION_TRIGGER,,physical,0,E0=42/A0,,unbound,yes,DBC name matches but no TC script casts the ID,docs/dungeons/end-time/encounter.md:226
101836,Molten Axe,Molten Axe,end-time,echo_of_baine,54431,avoidable,no,none,self_buff,,,fire,256,E0=6/A42,,unbound,no,DBC name matches but no TC script casts the ID,docs/dungeons/end-time/encounter.md:243
101614,Throw Totem,Throw Totem,end-time,echo_of_baine,54431,info,no,none,random_player,BOT_REACTIVE_INTERACTION,,physical,2097152,E2=28/A0 E1=98/A0 E0=2/A0,,unbound,yes,DBC name matches but no TC script casts the ID,docs/dungeons/end-time/encounter.md:258
101809,Pyroblast,Pyroblast,end-time,echo_of_jaina,54445,interrupt,yes,none,tank,MUST_INTERRUPT_PRIMARY,,fire,65536,E1=6/A3 E0=2/A0,boss_echo_of_jaina.cpp:34,verified,yes,DBC + TC script confirm,docs/dungeons/end-time/encounter.md:350
101810,Frostbolt Volley,Frostbolt Volley,end-time,echo_of_jaina,54445,interrupt,yes,magic,pbaoe_self_65y,MUST_INTERRUPT_SECONDARY,,frost,65536,E1=6/A33 E0=2/A0,boss_echo_of_jaina.cpp:35,verified,yes,DBC + TC script confirm,docs/dungeons/end-time/encounter.md:364
101810,Frostbolt Volley,Frostbolt Volley,end-time,echo_of_jaina,54445,dispel,yes,magic,pbaoe_self_65y,MUST_INTERRUPT_SECONDARY,,frost,65536,E1=6/A33 E0=2/A0,boss_echo_of_jaina.cpp:35,verified,yes,DBC + TC script confirm,docs/dungeons/end-time/encounter.md:364
101927,Flarecore,Flarecore,end-time,echo_of_jaina,54445,avoidable,no,none,ground_orbs,DESIGNATED_DETONATOR_REACTIVE,,fire,536870912,E0=32/A0,,unbound,yes,DBC name matches but no TC script casts the ID,docs/dungeons/end-time/encounter.md:377
101339,Frost Blades,Frost Blades,end-time,echo_of_jaina,54445,avoidable,no,none,forward_cone,,,physical,0,E0=28/A0,boss_echo_of_jaina.cpp:38,verified,yes,DBC + TC script confirm,docs/dungeons/end-time/encounter.md:395
101812,Blink,Blink,end-time,echo_of_jaina,54445,info,no,none,self_teleport,,,nature,65536,E2=6/A77 E1=6/A77 E0=29/A0,boss_echo_of_jaina.cpp:36,verified,yes,DBC + TC script confirm,docs/dungeons/end-time/encounter.md:407
,,melee,end-time,echo_of_jaina,54445,info,no,,tank,,,,,,,placeholder,no,"non-numeric spell_id ('101810,')",docs/dungeons/end-time/encounter.md:445
,,Calling of the Highborne,end-time,echo_of_sylvanas,54123,info,no,none,pbaoe_self_pull,GROUP_FOCUS_TARGET_SHIFT,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/end-time/encounter.md:495
,,Black Arrow,end-time,echo_of_sylvanas,54123,avoidable,no,none,random_player,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/end-time/encounter.md:515
,,Unholy Shot,end-time,echo_of_sylvanas,54123,avoidable,no,none,random_player,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/end-time/encounter.md:527
,,Shriek of the Highborne,end-time,echo_of_sylvanas,54123,dispel,no,magic,random_player,DISPEL_HIGH_BEFORE_CALLING,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/end-time/encounter.md:539
,,Blighted Arrows,end-time,echo_of_sylvanas,54123,avoidable,no,none,ground_runes,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/end-time/encounter.md:551
,,Wracking Pain (ghoul aura),end-time,echo_of_sylvanas,54123,avoidable,no,none,ground_links_and_shadows,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/end-time/encounter.md:562
,,Sacrifice (ghoul fail-state),end-time,echo_of_sylvanas,54123,avoidable,no,none,,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/end-time/encounter.md:573
,,Risen Ghoul,end-time,echo_of_sylvanas,54123,info,no,,,,,,,,,placeholder,yes,"non-numeric spell_id ('UNVERIFIED,')",docs/dungeons/end-time/encounter.md:614
102173,Stardust,Stardust,end-time,echo_of_tyrande,54544,interrupt,yes,none,pbaoe_60y,MUST_INTERRUPT_TOP_PRIORITY,,arcane,0,E0=2/A0,,unbound,yes,DBC name matches but no TC script casts the ID,docs/dungeons/end-time/encounter.md:674
102193,Moonbolt,Moonbolt,end-time,echo_of_tyrande,54544,info,no,none,tank,MUST_INTERRUPT_SECONDARY (try if Stardust on cd),,arcane,0,E0=2/A0,,unbound,yes,DBC name matches but no TC script casts the ID,docs/dungeons/end-time/encounter.md:691
102149,Moonlance,Moonlance,end-time,echo_of_tyrande,54544,avoidable,no,none,ground_lance,,,arcane,150994944,E1=6/A12 E0=2/A0,,unbound,yes,DBC name matches but no TC script casts the ID,docs/dungeons/end-time/encounter.md:703
102414,Dark Moonlight,Dark Moonlight,end-time,echo_of_tyrande,54544,avoidable,no,unverified,15y_radius_around_boss,HEALER_POSITIONAL_OVERRIDE,,arcane,218103808,E1=64/A0 E0=27/A65,,unbound,yes,DBC name matches but no TC script casts the ID,docs/dungeons/end-time/encounter.md:715
102414,Dark Moonlight,Dark Moonlight,end-time,echo_of_tyrande,54544,dispel,no,unverified,15y_radius_around_boss,HEALER_POSITIONAL_OVERRIDE,,arcane,218103808,E1=64/A0 E0=27/A65,,unbound,yes,DBC name matches but no TC script casts the ID,docs/dungeons/end-time/encounter.md:715
33589,Lunar Guidance,Lunar Guidance,end-time,echo_of_tyrande,54544,dispel,no,unverified,self_buff,,,physical,464,E0=6/A107,,unbound,yes,DBC name matches but no TC script casts the ID,docs/dungeons/end-time/encounter.md:727
102241,Tears of Elune,Tears of Elune,end-time,echo_of_tyrande,54544,avoidable,no,none,ground_player_feet,,,arcane,2298478592,E1=64/A0 E0=6/A23,,unbound,yes,DBC name matches but no TC script casts the ID,docs/dungeons/end-time/encounter.md:739
,,Eyes of the Goddess / Piercing Gaze of Elune,end-time,echo_of_tyrande,54544,avoidable,no,none,mobile_silence_orb,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/end-time/encounter.md:751
,,Infinite Breath,end-time,echo_of_murozond,54432,avoidable,no,none,frontal_cone,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/end-time/encounter.md:843
,,Temporal Blast,end-time,echo_of_murozond,54432,dispel,no,magic,pbaoe_self,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/end-time/encounter.md:856
,,Distortion Bomb,end-time,echo_of_murozond,54432,avoidable,no,none,ranged_random_player_location,GROUND_PATCH_AWARENESS,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/end-time/encounter.md:872
,,Tail Sweep,end-time,echo_of_murozond,54432,avoidable,no,none,rear_cone,,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/end-time/encounter.md:890
,,Hourglass of Time,end-time,echo_of_murozond,54432,info,no,,,BOT_REACTIVE_INTERACTION,,,,,,placeholder,yes,non-numeric spell_id ('UNVERIFIED'),docs/dungeons/end-time/encounter.md:915
,,Hourglass of Time,end-time,echo_of_murozond,54432,info,no,,,BOT_REACTIVE_INTERACTION,,,,,,placeholder,yes,"non-numeric spell_id ('UNVERIFIED,')",docs/dungeons/end-time/encounter.md:970
,,Hourglass of Time,end-time,echo_of_murozond,54432,info,no,,,BOT_REACTIVE_INTERACTION,,,,,,placeholder,yes,"non-numeric spell_id ('UNVERIFIED,')",docs/dungeons/end-time/encounter.md:1005
,,Hourglass of Time,end-time,echo_of_murozond,54432,info,no,,,BOT_REACTIVE_INTERACTION,,,,,,placeholder,yes,"non-numeric spell_id ('UNVERIFIED,')",docs/dungeons/end-time/encounter.md:1007
,,Hourglass of Time,end-time,echo_of_murozond,54432,info,no,,,BOT_REACTIVE_INTERACTION,,,,,,placeholder,no,"non-numeric spell_id ('101810,')",docs/dungeons/end-time/encounter.md:1008
74846,Bleeding Wound,Bleeding Wound,grim-batol,general_umbriss,39625,info,no,none,tank,TANK_HEAL_PRIORITY,,physical,262160,E1=6/A3 E0=58/A0,boss_general_umbriss.cpp:34,verified,no,DBC + TC script confirm,docs/dungeons/grim-batol/encounter.md:165
74670,Blitz,Blitz,grim-batol,general_umbriss,39625,avoidable,no,none,ally_random_non_tank,,,physical,0,E1=32/A0 E0=149/A0,boss_general_umbriss.cpp:36,verified,no,DBC + TC script confirm,docs/dungeons/grim-batol/encounter.md:180
74634,Ground Siege,Ground Siege,grim-batol,general_umbriss,39625,avoidable,no,none,pbaoe_self,,,physical,2097152,E2=2/A0 E1=6/A12 E0=3/A0,boss_general_umbriss.cpp:38,verified,no,DBC + TC script confirm,docs/dungeons/grim-batol/encounter.md:194
96800,Frenzy,Frenzy,grim-batol,general_umbriss,39625,dispel,no,unverified,self,TANK_DEFENSIVE_CD_TRIGGER,,arcane,262144,E1=6/A61 E0=6/A138,,unbound,no,DBC name matches but no TC script casts the ID,docs/dungeons/grim-batol/encounter.md:206
74859,Summon Skardyn,Summon Skardyn,grim-batol,general_umbriss,39625,info,no,,,,,physical,256,E0=61/A0,boss_general_umbriss.cpp:39,verified,no,DBC + TC script confirm,docs/dungeons/grim-batol/encounter.md:218
74699,Modgud's Malice,Modgud's Malice,grim-batol,Ambient Twilight Hatchling,39625,info,no,,pbaoe_self_on_death,KILL_AWAY_FROM_BOSS,,shadow,0,E1=3/A0 E0=6/A61,boss_general_umbriss.cpp:45,verified,no,DBC + TC script confirm,docs/dungeons/grim-batol/encounter.md:232
74837,Modgud's Malady,Modgud's Malady,grim-batol,Ambient Twilight Hatchling,39625,info,no,,melee_target,,,shadow,159383552,E1=6/A33 E0=6/A3,boss_general_umbriss.cpp:44,verified,no,DBC + TC script confirm,docs/dungeons/grim-batol/encounter.md:241
